,SEVQ,Algorithm,p-value
1,SEVQ,AB,0.014418902471743525
2,SEVQ,DT,0.5876545564871773
3,SEVQ,GNB,0.5383632183232068
4,SEVQ,KNN,0.6422919766548558
5,SEVQ,MLP,0.32014666028906824
6,SEVQ,NC,5.824098075547142e-18
7,SEVQ,QDA,0.001210698737232489
8,SEVQ,RF,0.23416148076050836
9,SEVQ,SVC,5.296566923310445e-06
10,SEVQ,XGB,2.502704059015555e-19
