AEE,ARF,DWM,EFDT,EVQ,HAT,HT,KNNI,LVQ,LVQ2,LVQ2.1,LVQ3,NB,OB,SEVQ,SFAM
0.5,0.5,0.6944444444444444,0.6944444444444444,0.75,0.6944444444444444,0.6944444444444444,0.4444444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9444444444444444,0.6944444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
0.5,0.5,0.9444444444444444,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.75,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.7777777777777778,0.9444444444444444,0.75,0.6388888888888891,0.75
0.5,0.5,0.6388888888888891,0.6388888888888891,0.6944444444444444,0.6388888888888891,0.6388888888888891,0.6944444444444444,0.6388888888888891,0.6944444444444444,0.6944444444444444,0.8333333333333334,0.6388888888888891,0.6944444444444444,0.6944444444444444,0.9444444444444444
0.5,0.5,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.75,0.6944444444444444,0.75,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.75,0.6944444444444444,0.75,0.9444444444444444,0.9444444444444444
0.5,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7777777777777778
0.5,0.5416666666666666,0.7083333333333334,0.7083333333333334,0.7708333333333333,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5416666666666666
0.5,0.75,0.6875,0.6875,0.75,0.6875,0.6875,0.75,0.75,0.6875,0.6875,0.5,0.6875,0.75,0.625,0.5625
0.5,0.5,0.6875,0.6875,0.75,0.6875,0.6875,0.75,0.6875,0.6875,0.6875,0.75,0.6875,0.75,0.6875,0.6875
0.5,0.5,0.75,0.75,0.6875,0.75,0.75,0.6875,0.875,0.9375,0.75,0.75,0.75,0.75,0.6875,0.4375
0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.6875
0.7410256410256408,0.823076923076923,0.7782051282051282,0.8679487179487181,0.7217948717948718,0.8679487179487181,0.8679487179487181,0.7769230769230769,0.9064102564102564,0.8602564102564102,0.8679487179487181,0.8679487179487181,0.7410256410256408,0.8064102564102564,0.7166666666666667,0.7333333333333334
0.7230769230769232,0.8487179487179487,0.7230769230769232,0.8179487179487179,0.823076923076923,0.8179487179487179,0.8179487179487179,0.8064102564102564,0.8397435897435898,0.8269230769230769,0.8653846153846154,0.6846153846153846,0.7230769230769232,0.832051282051282,0.7769230769230769,0.7397435897435898
0.8410256410256409,0.8820512820512819,0.8576923076923076,0.8512820512820511,0.8474358974358974,0.8512820512820511,0.8512820512820511,0.8769230769230769,0.8641025641025641,0.8897435897435897,0.8641025641025641,0.8512820512820511,0.8410256410256409,0.8474358974358974,0.7846153846153846,0.7679487179487179
0.7508488964346349,0.8960101867572157,0.866723259762309,0.8565365025466893,0.8433786078098472,0.8433786078098472,0.8565365025466893,0.853565365025467,0.8696943972835315,0.8828522920203735,0.8696943972835315,0.8828522920203735,0.7508488964346349,0.853565365025467,0.8433786078098472,0.8272495755517827
0.7962648556876062,0.9252971137521224,0.7962648556876062,0.9019524617996604,0.8769100169779288,0.9019524617996604,0.9019524617996604,0.8930390492359933,0.9282682512733448,0.9282682512733448,0.9282682512733448,0.9151103565365026,0.7962648556876062,0.909168081494058,0.7729202037351443,0.815365025466893
0.8476230899830219,0.9049235993208828,0.8637521222410866,0.9078947368421052,0.8009337860780985,0.9078947368421052,0.9078947368421052,0.8756366723259762,0.9019524617996604,0.9019524617996604,0.8917657045840407,0.8111205432937181,0.8476230899830219,0.8595076400679117,0.797962648556876,0.8140916808149405
0.8123938879456706,0.8858234295415959,0.8123938879456706,0.6939728353140916,0.8242784380305602,0.8230050933786078,0.8230050933786078,0.8463497453310697,0.8200339558573855,0.8463497453310697,0.8200339558573855,0.7453310696095076,0.8123938879456706,0.8595076400679117,0.7758913412563667,0.797962648556876
0.7478777589134126,0.8930390492359933,0.7317487266553481,0.8726655348047538,0.9121392190152802,0.8726655348047538,0.8726655348047538,0.909168081494058,0.909168081494058,0.8989813242784381,0.8989813242784381,0.7041595925297113,0.7478777589134126,0.866723259762309,0.866723259762309,0.8565365025466893
0.815365025466893,0.8828522920203735,0.8051782682512735,0.8463497453310697,0.7758913412563667,0.7937181663837013,0.8463497453310697,0.8242784380305602,0.8595076400679117,0.8433786078098472,0.8272495755517827,0.8463497453310697,0.815365025466893,0.8051782682512735,0.7334465195246179,0.7699490662139218
0.7992359932088284,0.8726655348047538,0.815365025466893,0.8756366723259762,0.8022071307300509,0.8756366723259762,0.8756366723259762,0.8051782682512735,0.8624787775891339,0.8302207130730052,0.8624787775891339,0.5955008488964346,0.7992359932088284,0.8505942275042444,0.7860780984719864,0.7890492359932089
0.6026266902838381,0.8923402600768998,0.58545383851039,0.709940813064328,0.7767097248023501,0.7863582033668871,0.7248023501965698,0.8799916475857202,0.5797943578001469,0.5339568842614594,0.5715427485203266,0.5,0.6026266902838381,0.8885240707939114,0.8421393701127576,0.8591106118863495
0.5695842513788685,0.8906337754352616,0.5384859089010815,0.6970953759306462,0.773541567661756,0.6974985959303581,0.7111504730634639,0.8851111015106349,0.5529874281764376,0.5422516956841059,0.5362681989026655,0.5,0.5695842513788685,0.8931467000763238,0.8561944672455755,0.8693495197361788
0.5848490085108221,0.8852047061534253,0.5830345185121182,0.64407194596852,0.8614723290275197,0.5851946256534325,0.6151553117034605,0.8817917368701488,0.5471551388948892,0.5364194064025576,0.5403292003283363,0.5,0.5848490085108221,0.8716464336631097,0.8519750579628751,0.8448395040394003
0.5764101899454214,0.8729496983050358,0.5776702524445213,0.6751918895177201,0.8317492547630363,0.7248023501965698,0.6896502066502499,0.8890208954364136,0.5366066156881381,0.5451390388963292,0.5247260264109099,0.5,0.5764101899454214,0.894046744718538,0.8618107458129923,0.8566912918880777
