,SEVQ,Algorithm,p-value
1,SEVQ,AB,0.05632222212303818
2,SEVQ,DT,0.9889398659877991
3,SEVQ,GNB,7.49444951573777e-05
4,SEVQ,KNN,0.00019570976754111497
5,SEVQ,MLP,1.3920227002927993e-06
6,SEVQ,NC,3.825106890521963e-27
7,SEVQ,QDA,0.0008005875140172297
8,SEVQ,RF,8.707597004626055e-05
9,SEVQ,SVC,0.2322771127194071
10,SEVQ,XGB,8.801688692265914e-23
